feature_type,fn,fp,jointhreshold,maxdf,num_actual_comparisons,num_features,num_hash_tables,precision,sensitivity,tn,total_potential_comparisons,tp,filename,file_creation,processing_time
hashingtf,11456.0,5636528.0,1.0,,11319486,500.0,1,0.0032211897163142516,0.613899093390853,44328801.0,49995000.0,18215.0,fake_10000/htf_1_500p00000_1p00000_0.json,2020-02-01 19:55:31.271373824,
hashingtf,10719.0,3698514.0,1.0,,7444932,1000.0,1,0.00509809639146666,0.6387381618415288,46266815.0,49995000.0,18952.0,"fake_10000/htf_1_1,000p00000_1p00000_1.json",2020-02-01 19:57:06.548162304,0 days 00:01:35.276788480
hashingtf,12280.0,2958317.0,1.0,,5961416,2000.0,1,0.005844323434960688,0.5861278689629604,47007012.0,49995000.0,17391.0,"fake_10000/htf_1_2,000p00000_1p00000_2.json",2020-02-01 19:58:22.725514496,0 days 00:01:16.177352192
hashingtf,10522.0,5957081.0,1.0,,11962460,4000.0,1,0.003204193948358748,0.6453776414681002,44008248.0,49995000.0,19149.0,"fake_10000/htf_1_4,000p00000_1p00000_3.json",2020-02-01 20:01:09.467348736,0 days 00:02:46.741834240
hashingtf,10397.0,5895877.0,1.0,,11840302,8000.0,1,0.0032584121690215516,0.6495905092514577,44069452.0,49995000.0,19274.0,"fake_10000/htf_1_8,000p00000_1p00000_4.json",2020-02-01 20:03:45.842230528,0 days 00:02:36.374881792
hashingtf,12112.0,2073064.0,1.0,,4191246,16000.0,1,0.00839893180166869,0.591789963263793,47892265.0,49995000.0,17559.0,"fake_10000/htf_1_16,000p00000_1p00000_5.json",2020-02-01 20:04:33.015089920,0 days 00:00:47.172859392
hashingtf,12773.0,11637.0,0.6,,11319486,500.0,1,0.592185035920799,0.5695123184253985,49953692.0,49995000.0,16898.0,fake_10000/htf_1_500p00000_0p60000_6.json,2020-02-01 20:05:14.053529088,0 days 00:00:41.038439168
hashingtf,12296.0,3576.0,0.6,,7444932,1000.0,1,0.8293160231015226,0.5855886218866907,49961753.0,49995000.0,17375.0,"fake_10000/htf_1_1,000p00000_0p60000_7.json",2020-02-01 20:05:41.228282880,0 days 00:00:27.174753792
hashingtf,13778.0,3563.0,0.6,,5961416,2000.0,1,0.8168688322368421,0.5356408614472044,49961766.0,49995000.0,15893.0,"fake_10000/htf_1_2,000p00000_0p60000_8.json",2020-02-01 20:06:03.640505600,0 days 00:00:22.412222720
hashingtf,12363.0,4244.0,0.6,,11962460,4000.0,1,0.8030809205642168,0.5833305247548111,49961085.0,49995000.0,17308.0,"fake_10000/htf_1_4,000p00000_0p60000_9.json",2020-02-01 20:06:47.267779584,0 days 00:00:43.627273984
hashingtf,12287.0,4527.0,0.6,,11840302,8000.0,1,0.7933914472182921,0.5858919483670925,49960802.0,49995000.0,17384.0,"fake_10000/htf_1_8,000p00000_0p60000_10.json",2020-02-01 20:07:29.728370432,0 days 00:00:42.460590848
hashingtf,13604.0,4389.0,0.6,,4191246,16000.0,1,0.7854419241298397,0.541505173401638,49960940.0,49995000.0,16067.0,"fake_10000/htf_1_16,000p00000_0p60000_11.json",2020-02-01 20:07:46.010718976,0 days 00:00:16.282348544
hashingtf,20907.0,4.0,0.3,,11319486,500.0,1,0.9995437956204379,0.29537258602676014,49965325.0,49995000.0,8764.0,fake_10000/htf_1_500p00000_0p30000_12.json,2020-02-01 20:08:25.058279936,0 days 00:00:39.047560960
hashingtf,20874.0,3.0,0.3,,7444932,1000.0,1,0.9996590909090909,0.2964847831215665,49965326.0,49995000.0,8797.0,"fake_10000/htf_1_1,000p00000_0p30000_13.json",2020-02-01 20:08:51.661061120,0 days 00:00:26.602781184
hashingtf,21518.0,2.0,0.3,,5961416,2000.0,1,0.9997547516860822,0.27478008830170875,49965327.0,49995000.0,8153.0,"fake_10000/htf_1_2,000p00000_0p30000_14.json",2020-02-01 20:09:13.836039424,0 days 00:00:22.174978304
hashingtf,21186.0,1.0,0.3,,11962460,4000.0,1,0.9998821588498704,0.2859694651343062,49965328.0,49995000.0,8485.0,"fake_10000/htf_1_4,000p00000_0p30000_15.json",2020-02-01 20:09:56.317605888,0 days 00:00:42.481566464
